"Question_Number","Part","Subject","Context_Passage","Question_English","Question_Hindi","Option_A_English","Option_A_Hindi","Option_B_English","Option_B_Hindi","Option_C_English","Option_C_Hindi","Option_D_English","Option_D_Hindi","Correct_Option_Key","Explanation_Hindi"
"11","Part-I","Child Development and Pedagogy","","Which of the following is the most subjective method of educational psychology?","निम्न में से कौन-सा शिक्षा मनोविज्ञान की सर्वाधिक व्यक्तिनिष्ठ विधि है?","Extrospection","बहिर्दर्शन","Introspection","अन्तर्दर्शन","Observation","निरीक्षण","Experimentation","प्रयोगीकरण","b","अन्तर्दर्शन; शिक्षा मनोविज्ञान की सर्वाधिक व्यक्तिनिष्ठ विधि है। अन्तर्दर्शन या आत्मनिरीक्षण विधि- आत्मनिरीक्षण का अर्थ है- 'मस्तिष्क द्वारा अपनी स्वयं की क्रियाओं का निरीक्षण' बी.एन.झॉ के अनुसार-आत्म निरीक्षण अपने स्वयं के मन का निरीक्षण करने की प्रक्रिया है। यह एक प्रकार का आत्मनिरीक्षण है जिसमें हम किसी मानसिक क्रिया के समय अपने मन में उत्पन्न होने वाली स्वयं की भावनाओं और सब प्रकार की प्रतिक्रियाओं का निरीक्षण, विश्लेषण और वर्णन करते हैं। आत्मनिरीक्षण विधि, शिक्षा मनोविज्ञान की व्यक्तिनिष्ठ विधि के अन्तर्गत आती है जबकि विकल्प में दी गयी विधियाँ (बहिर्दर्शन विधि तथा प्रयोगीकरण विधि) शिक्षा मनोविज्ञान की वस्तुनिष्ठ विधियों के अन्तर्गत आती हैं। अतः विकल्प (b) सही है।"
"12","Part-I","Child Development and Pedagogy","","Albert Bandura is associated with which of the following?","एल्बर्ट बण्डूरा निम्न में से किससे सम्बन्धित है?","Behavioural Theory","व्यवहारवादी सिद्धान्त","Social Learning Theory","सामाजिक अधिगम सिद्धान्त","Cognitive Development Theory","संज्ञानात्मक विकास का सिद्धांत","Psychosexual Development","मनोलैंगिक विकास","b","एल्बर्ट बंडूरा ने सीखने के सामाजिक अधिगम सिद्धांत को प्रस्तुत किया। बंडूरा के अनुसार प्राणी वातावरणीय उद्दीपकों के प्रति यन्त्रवत् अनुक्रिया नहीं करता है वरन् अनेक विकल्पों में से किसी एक विकल्प को अपने पूर्व अनुभवों तथा अन्तर्दृष्टि की सहायता से छॉटता है। सामाजिक अधिगम सिद्धांत के अनुरूप सीखते समय सर्वप्रथम सीखने वाले के समक्ष ऐसे अनेक अवसर प्रस्तुत किये जाते हैं कि वह निदर्श (Model) के रूप में कार्य करने वाले व्यक्ति के व्यवहार को स्वतः देख सके। प्रश्नानुसार व्यवहारवादी सिद्धांत-थार्नडाइक से, संज्ञानात्मक विकास सिद्धांत- जीन पियाजे से तथा मनोलैंगिक विकास- फ्रॉयड से संबंधित है। अतः विकल्प (b) सही है।"
"13","Part-I","Child Development and Pedagogy","","Plateau in learing curve is caused due to","अधिगम में पठार निम्न में से किस कारण बनता है?","Motivation","अभिप्रेरणा द्वारा","Maturation","परिपक्वता द्वारा","Fatigue","थकान द्वारा","Interest","रुचि द्वारा","c","अधिगम में पठार थकान द्वारा बनता है रॉस के अनुसार सीखने की प्रक्रिया की एक प्रमुख विशेषता पठार है। ये उस अवधि को बताते हैं जब सीखने की प्रक्रिया में कोई उन्नति नहीं होती है।"" अधिगम के पठार के कारणों में प्रमुख ज्ञानावरोध, थकान, प्रेरणा की सीमा, शारीरिक क्षमताबोध, सीखने की अनुचित विधियों का प्रयोग आदि हैं जबकि अभिप्रेरणा द्वारा, परिपक्वता द्वारा तथा रूचि द्वारा अधिगम में पठार नहीं उत्पन्न होता है। अतः विकल्प (c) सही है।"
"14","Part-I","Child Development and Pedagogy","","Mirror Drawing Test is used to measue","दर्पण चित्र परीक्षण किसे मापन हेतु प्रयुक्त होता है?","Transfer of learning","अधिगम अन्तरण को","Rate of learning","अधिगम की गति को","Creativity","सृजनात्मकता को","Interest","अभिरुचि को","a","दर्पण चित्र परीक्षणः अधिगम अन्तरण को मापने हेतु प्रयुक्त होता है दर्पण चित्र परीक्षण एक मनोवैज्ञानिक मूल्यांकन है जिसका उपयोग सीखने की दर, हाथ, आँख के समन्वय और न्यूरोसाइकोलॉजिकल क्षति को मापने के लिए किया जाता है। यह परीक्षण सीखने की प्रक्रिया की प्रकृति की विश्लेषण और निरीक्षण करने और दृश्य स्थानिक और अधिगम के बीच सम्बन्धों का अध्ययन करने के लिए एक प्रयोगात्मक उपकरण के रूप में बनाया गया है। जबकि अधिगम की गति, सृजनात्मकता तथा अभिरुचि का संबंध दर्पण चित्र परीक्षण से नहीं है। अतः विकल्प (a) सही है।"
"15","Part-I","Child Development and Pedagogy","","Cloud Picture Test is used to measure which of the following?","क्लाउड पिक्चर परीक्षण निम्न में से किसके मापन में प्रयुक्त होता है?","Personality","व्यक्तित्व","Intelligence","बुद्धि","Aptiutude","अभिक्षमता","Interest","अभिरुचि","a","क्लाउड पिक्चर परीक्षण; व्यक्तित्व के मापन में प्रयुक्त होता है। यह व्यक्तित्व मापन की एक प्रक्षेपी विधि है। क्लाउड पिक्चर परीक्षण 'विलियम स्टर्न' ने दिया है इसमें तीन चित्रों की श्रृंखला शामिल होती है जो स्याही-धब्बों के बजाय बादलों से मिलते-जुलते हैं। चित्र ए- सबसे विशिष्ट रंगों और रूपों को प्रस्तुत करता है। चित्र बी एक मध्यवर्ती स्थिति पर है। चित्र सी सबसे अस्पष्ट है। इन चित्रों में कोई समरूपता या अन्य नियमितता नहीं है इस परीक्षण में क्लाउड के चित्र दिखाकर पूछा जाता है कि क्लाउड किसके जैसा दिखाता है और उत्तरदाता बादल के चित्रों का अवलोकन करक जवाब देते हैं कि वह किस प्रकार का है। बुद्धि, अभिक्षमता, अभिरूचि; क्लाउड पिक्चर परीक्षण से संबंध नहीं रखते हैं। अतः विकल्प (a) सही है।"
"16","Part-I","Child Development and Pedagogy","","What is the factor influencing physical development in the following?","निम्न में से शारीरिक विकास को प्रभावित करने वाला कारक क्या है?","Environment","वातावरण","Heredity","वंशानुक्रम","Sports and exercise","खेल तथा व्यायाम","All of these","इनमें से सभी","d","किसी बालक के शारीरिक विकास को प्रभावित करने वाले कारक वंशानुक्रम, वातावरण, पौष्टिक भोजन, खेल तथा व्यायाम परिवार की स्थिति, नियमित दिनचर्या आदि हैं। चूंकि विकल्प में दिये गये सभी कारक शारीरिक विकास को प्रभावित करते हैं अतः विकल्प (d) सही है।"
"17","Part-I","Child Development and Pedagogy","","Which of the following is correct formula to calculate I.Q.?","बुद्धि लब्धि की गणना का सही सूत्र निम्नलिखित में से कौन है?","C.A. / M.A.","वास्तविक आयु / मानसिक आयु","M.A. / C.A. x 100","मानसिक आयु / वास्तविक आयु x 100","C.A. / M.A. x 100","वास्तविक आयु / मानसिक आयु x 100","M.A. / C.A. x 100 (text error in source, likely M.A. / (C.A. x 100))","मानसिक आयु / वास्तविक आयु×100","b","बुद्धि को मापने के लिए बुद्धिलब्धि (I.Q.) का आविष्कार मनोवैज्ञानिक टरमैन ने किया। टरमन के द्वारा प्रतिपादित बुद्धिलब्धि की गणना का सूत्र निम्न है- बुद्धिलब्धि = (मानसिक आयु / वास्तविक आयु) x 100 $I.Q.=\frac{MA}{C.A}\times100$"
"18","Part-I","Child Development and Pedagogy","","Who described 'Reflective Thinking' from the following?","विचारात्मक चिन्तन की चर्चा निम्न में से किसने की है?","Ross","रास","Dewey","डीवी","Woodworth","वुडवर्थ","Drever","ड्रेवर","b","विचारात्मक चिन्तन की चर्चा डीवी ने की है। यह सबसे उच्च प्रकार का चिन्तन है। इसका सम्बन्ध किसी समस्या के समाधान से होता है। डीवी ने इस बात पर भी बल दिया कि 'चिन्तन की जटिल प्रक्रिया को समझने के लिए प्रत्यय निर्माण, तर्क तथा समस्या समाधान के विषय में अध्ययन करना आवश्यक है। रॉस के अनुसार चिन्तन; मानसिक क्रिया का ज्ञानात्मक पहलू है क्योंकि रॉस, वुडवर्थ और ड्रेवर ने चिंतन के पक्ष में अपनी परिभाषाएँ व भिन्न-भिन्न मत दिये हैं जबकि विचारात्मक चिन्तन को डीवी ने प्रतिपादित किया है। अतः विकल्प (b) सही है।"
"19","Part-I","Child Development and Pedagogy","","Which is not included in the levels of inductive reasoning?","आगनात्मक तर्क के स्तरों में कौन शामिल नहीं है?","Experiment","प्रयोग","Observation","अवलोकन","Generalization","सामान्यीकरण","Imagination","कल्पना","d","आगमनात्मक तर्क के स्तरों में कल्पना शामिल नहीं है। आगमनात्मक तर्क- इस तर्क में व्यक्ति अपने अनुभवों या अपने द्वारा संकलित तथ्यों के आधार पर किसी सामान्य नियम या सिद्धांत का निरूपण करता है। इसमें वह तीन स्तरों से होकर गुजरता है- निरीक्षण, परीक्षण, सामान्यीकरण। उदाहरणार्थ-जब माँ घर लौटने पर बच्चे को रोता हुआ पाती है तब वह उसके रोने के कारणों की खोज करके इस निष्कर्ष पर पहुंचती है कि वह भूख के कारण रो रहा है। इस प्रकार इस विधि में हम विशिष्ट सत्य से सामान्य सत्य की ओर अग्रसर हात हैं। भाटिया के अनुसार आगमन विधि, खोज और अनुसंधान की विधि है। चूंकि विकल्प में दिये गये तीनों स्तर, आगमनात्मक तर्क से सम्बन्धित हैं जबकि कल्पना; आगमनात्मक तर्क के स्तरों में शामिल नहीं है। अतः विकल्प (d) सही है।"
"20","Part-I","Child Development and Pedagogy","","Failure in retention and recall of learner content is-","सीखी गयी बात को धारण और पुनः स्मरण करने में असफल होना","Memory","स्मरण है","Forgetting","विस्मरण है","Retention","धारणा है","Thinking","चिन्तन है","b","सीखी गयी बात को धारण और पुनः स्मरण करने में असफल होना विस्मरण है। ड्रेवर के अनुसार ""विस्मृति का अर्थ है किसी समय प्रयास करने पर भी किसी पूर्व अनुभव का स्मरण करने या पहले सीखे हुए किसी कार्य को करने में असफलता।"" रायबर्न के अनुसार ""जो बात पहले सीखी जा चुकी हैं, उसे स्मरण रखना ही स्मृति है। धारण- स्मृति का दूसरा अंग है। इसका अर्थ है- सीखी हुई बात को मस्तिष्क में संचित रखना। चिन्तन चिन्तन विचार करने की वह मानसिक प्रक्रिया है जो किसी समस्या के कारण आरम्भ होती है और उसके अन्त तक चलती रहती है। विस्मरण; प्रश्नानुसार परिभाषा की पुष्टि करता है। अतः विकल्प (b) सही है।"
"21","Part-I","Child Development and Pedagogy","","Five years old Mohan has mental age of eight. What is his I.Q.?","पाँच वर्ष के मोहन की मानसिक आयु आठ वर्ष है, उसकी बुद्धि लब्धि कितनी है?","160","160","150","150","140","140","135","135","a","पाँच वर्ष के मोहन की मानसिक आयु 8 वर्ष है, उसकी बुद्धिलब्धि 160 होगी। बुद्धि लब्धि (I.Q.) = (मानसिक आयु / वास्तविक आयु) x 100 प्रश्नानुसार, मानसिक आयु = 8 वर्ष वास्तविक आयु = 5 वर्ष बुद्धि लब्धि (I.Q.) = (8 / 5) x 100 = 160 अत: विकल्प (a) सही है।"
"22","Part-I","Child Development and Pedagogy","","Which I.Q. range is called trainable IQ level of mentally retarded children?","इनमें से कौन-सा आई. क्यू. स्तर मन्दबुद्धि बालकों का प्रशिक्षण योग्य आई. क्यू. स्तर कहलाता है?","50-69","50-69","70-79","70-79","36-49","36-49","35 and below","35 एवं निम्न","c","मन्दबुद्धि बालक ऐसे बच्चों को जिनमें बौद्धिक न्यूनता होती है उन्हें बौद्धिक रूप से अशक्त बालक या मन्द बुद्धि बालक कहा जाता है। मन्द बुद्धि बालकों की बुद्धिलब्धि में भी व्यक्तिक भिन्नताएँ पायी जाती हैं। उनमें से कुछ बालकों को विशेष ध्यान देकर साधारण प्रकार के कार्य करना सिखाया जा सकता है परंतु कुछ ऐसे भी बालक हैं जिन्हें प्रशिक्षण नहीं दिया जा सकता है और उन्हें जीवन भर संस्थागत देखभाल की आवश्यकता पड़ती है बौद्धिक अशक्तता के विभिन्न वर्ग इस प्रकार होते हैं- निम्न (बुद्धिलब्धि 55 लगभग 70), सामान्य (35-40 से लगभग 50-55), तीव्र (20-25 से लगभग 35-40), अतिगंभीर (20-25 से कम), 70-79 सीमावर्ती बालक नोट- प्रश्नानुसार मन्दबुद्धि बालकों का प्रशिक्षण योग्य आई. क्यू.स्तर दिये गये विकल्प (a), (c), (d) तीनों से सम्बन्ध रखता है परन्तु PNP ने इसका स्तर विकल्प (c) को माना है।"
"23","Part-I","Child Development and Pedagogy","","Rorschach ink blot test is used to measure which of the following?","रोर्शा इंक ब्लॉट टेस्ट का प्रयोग निम्न में से किसके मापन हेतु किया जाता है?","Intelligence","बुद्धि","Personality","व्यक्तित्व","Interest","रुचि","Aptitude","अभिक्षमता","b","रोर्शा इंक ब्लाट टेस्ट का प्रयोग व्यक्तित्व के मापन हेतु किया जाता है। रोर्शा इंक-ब्लाट टेस्ट रोर्शा का स्याही धब्बा परीक्षण सबसे अधिक प्रयोग किया जाने वाला व्यक्तित्व परीक्षण हैं। इसका निर्माण स्विटजरलैण्ड के विख्यात मनोरोग चिकित्सक हरमन रोर्शा ने 1921 में किया था। इस परीक्षण में स्याही के धब्बों के 10 कार्डों का प्रयोग किया जाता है। इन कार्डों में से 5 बिल्कुल काले हैं, 2 काले व लाल हैं और 3 अनेक रंगों के हैं। जिस मनुष्य के व्यक्तित्व का परीक्षण किया जाता है, उसे ये कार्ड निश्चित समय के अन्तर के बाद एक-एक करके दिखाये जाते हैं। फिर उससे पूछा जाता है कि उसे प्रत्येक कार्ड के धब्बों में क्या दिखाई दे रहा है। परीक्षार्थी धब्बों में जो भी आकृतियों देखता है, उनको बताता है और परीक्षक उसके उत्तरों को सविस्तार लिखता है। इस प्रकार इस परीक्षण द्वारा व्यक्ति के सम्पूर्ण व्यक्तित्व का मापन किया जाता है। जबकि बुद्धि, रूचि और अभिक्षमता के मापन हेतु इस टेस्ट का प्रयोग नहीं किया जाता है। अतः विकल्प (b) सही है।"
"24","Part-I","Child Development and Pedagogy","","It is not the cause of forgetting","यह विस्मृति का कारण नहीं है","Desire to remember","स्मरण करने की इच्छा","Under learning","सीखने में कमी","Mental conflict","मानसिक द्वन्द","Defective methods of remembering","सीखने की दोषपूर्ण विधियाँ","a","स्मरण करने की इच्छा विस्मृति का कारण नहीं है अपितु विस्मृति के कारण सीखने में कमी, मानसिक द्वन्द्व, सीखने की दो दोषपूर्ण विधियां आदि हैं। वुडवर्थ के अनुसार बात पहले सीखी जा चुकी है उसे स्मरण रखना ही स्मृति है। क्योंकि स्मरण करने की इच्छा स्मृति का कारण है न कि विस्मृति का होगा। अतः विकल्प (a) सही है।"
